Name,Phone,Website,BillingCity,BillingCountry,Industry,Type
Data Consulting Inc.,+34 921389184,www.dataconsultinginc.com,Murcia,Spain,Financial Services,Prospect
Prime Dynamics Group,+34 976839554,www.primedynamicsgroup.com,Zaragoza,Spain,Software,Prospect
Web Digital,+34 937590280,www.webdigital.com,Málaga,Spain,Telecommunications,Customer
Alpha Group S.L.,+34 965480112,www.alphagroupsl.com,Córdoba,Spain,Manufacturing,Partner
Data Consulting S.A.,+34 917571045,www.dataconsultingsa.com,Bilbao,Spain,Telecommunications,Partner
Future Dynamics Ltd.,+34 943319699,www.futuredynamicsltd.com,Bilbao,Spain,Manufacturing,Prospect
Elite Consulting S.A.,+34 960673070,www.eliteconsultingsa.com,Palma,Spain,Telecommunications,Customer
Expert Group S.A.,+34 950295501,www.expertgroupsa.com,Gijón,Spain,IT Services,Partner
Delta Innovations Group,+34 952774144,www.deltainnovationsgroup.com,Valladolid,Spain,Retail,Prospect
Web Technologies Inc.,+34 973766047,www.webtechnologiesinc.com,Murcia,Spain,IT Services,Prospect
Mega Partners Inc.,+34 933345586,www.megapartnersinc.com,Madrid,Spain,Technology,Partner
Cyber Development S.L.,+34 990494692,www.cyberdevelopmentsl.com,Barcelona,Spain,Technology,Partner
Beta Dynamics S.A.,+34 917043489,www.betadynamicssa.com,Gijón,Spain,Technology,Partner
Master Works Inc.,+34 958808241,www.masterworksinc.com,Madrid,Spain,Healthcare,Partner
Software Development S.L.,+34 912735622,www.softwaredevelopmentsl.com,Madrid,Spain,Technology,Prospect
Digital Studios S.A.,+34 921010237,www.digitalstudiossa.com,Murcia,Spain,IT Services,Prospect
Cloud Enterprises Ltd.,+34 917149896,www.cloudenterprisesltd.com,Barcelona,Spain,Healthcare,Customer
